xpath,frequency,uniques
/dictionary/body/p/cs/cd/as/,1166,1123
/dictionary/body/p/note/ord/,96,79
/dictionary/body/p/qau/,32,31
/dictionary/body/p/def/as/mcol/,1,1
/dictionary/body/p/def/styp/ex/,10,7
/dictionary/body/p/amorph/ex/,2,2
/dictionary/body/p/def/as/mathex/,21,14
/dictionary/body/p/stype/subs/,2,2
/dictionary/body/p/syn/org/,1,1
/dictionary/body/p/ety/persfn/,33,31
/dictionary/body/p/note/pr/it/,13,12
/dictionary/body/p/note/q/persfn/,2,2
/dictionary/body/p/def/haspart/,2,2
/dictionary/body/p/def/state/,8,7
/dictionary/body/p/cs/cd/as/mathex/exp/,10,6
/dictionary/body/p/cs/ety/persfn/,2,2
/dictionary/body/p/table/tr/td/,56,14
/dictionary/body/p/usage/ets/,20,18
/dictionary/body/p/def/as/spn/,93,57
/dictionary/body/p/usage/source/,68,2
/dictionary/body/p/table/point4.5/,1,1
/dictionary/body/p/def/chname/it/,4,4
/dictionary/body/p/cs/cd/as/er/,2,2
/dictionary/body/p/cs/it/,33,12
/dictionary/body/p/syn/subfam/,12,8
/dictionary/body/p/def/sd/,491,150
/dictionary/body/p/amorph/qex/,2,2
/dictionary/body/p/note/hascons/er/,1,1
/dictionary/body/p/cs/cd/frac/,70,50
/dictionary/body/p/usage/rj/qau/,28,19
/dictionary/body/p/def/col/,147,130
/dictionary/body/p/note/unit/,2,2
/dictionary/body/p/q/note/,3,3
/dictionary/body/p/note/pre/tt/pbr/,2,2
/dictionary/body/p/cs/mcol/cd/spn/,16,16
/dictionary/body/p/cs/table/tabtitle/,1,1
/dictionary/body/p/syn/subord/,16,12
/dictionary/body/p/def2/def/,923,827
/dictionary/body/p/bio/date/,69,69
/dictionary/body/p/cs/au/,2897,1100
/dictionary/body/p/fld/,40710,1573
/dictionary/body/p/cs/mcol/cd/mathex/,1,1
/dictionary/body/p/cs/cd/asp/,8,8
